,Phrase,Score
2517,участие,0
2518,участник ,0
2519,участник мирового рынка,0
2520,участник рынка,0
2521,учитывать ,1
2522,учтённый,1
2523,учёт,0
2524,учёт ндс,0
2525,учётная политика,0
2526,ущемление,-1
2527,ущемлять,-1
2528,ущерб,-2
2529,уязвимо,-1
2530,уязвимость,-1
2531,фаза,0
2532,фактор,0
2533,фактор производства,0
2534,фактор риска,-1
2535,факторные условия,0
2536,фальсификация,-1
2537,фальсифицировать,-1
2538,фальшивомонетчик,-2
2539,фатально,-2
2540,фатальность,-2
2541,федеральная информационная кампания,0
2542,федеральная сеть,0
2543,федеральный,0
2544,федеральный бюджет,0
2545,федеральный закон,0
2546,федеральный орган,0
2547,федеральный проект,0
2548,федерация ,0
2549,физический ,0
2550,фиктивный,-1
2551,филиал,0
2552,фильтрация,1
2553,финановая отчётность в управлении,0
2554,финансирование,1
2555,финансировать,1
2556,финансовая аренда,0
2557,финансовая группа,0
2558,финансовая несостоятельность,-1
2559,финансовая отчётность,0
2560,финансовая отчётность группы,0
2561,финансовая репрессия,-1
2562,финансово-хозяйственная деятельность,0
2563,финансовое вложение,0
2564,финансовое обязательство,0
2565,финансовое положение,0
2566,финансовые средства,0
2567,финансовый ,0
2568,финансовый актив,0
2569,финансовый инструмент,0
2570,финансовый контроль,0
2571,финансовый отчёт,0
2572,финансовый показатель,0
2573,финансовый посредник,0
2574,финансовый результат,0
2575,финансовый риск,-1
2576,финансовый рынок,0
2577,флотофильтрация,1
2578,фонд,0
2579,фонд развития промышленности,1
2580,фондирование,0
2581,фондовая биржа,0
2582,фондовый,0
2583,фондовый актив,0
2584,форсированный,-1
2585,фрс,0
2586,функциональный,1
2587,фьючерс,0
2588,халатность,-1
2589,хаотично,-1
2590,хаотичность,-1
2591,хватать,1
2592,хедж-фонд,0
2593,хеджированный,1
2594,хищение,-1
2595,ходовой,1
2596,хозяйственный,0
2597,хозяйственный субъект,0
2598,хозяйство ,0
2599,хорошая практика,1
2600,хороший,1
2601,цб рф,0
2602,целевое использование ресурсов,1
2603,целевой,0
2604,целесообразность,1
2605,целесообразный,1
2606,целостность,1
2607,цена ,0
2608,цена нефти,0
2609,цена продажи,0
2610,цена сделки,0
2611,ценная бумага,0
2612,ценный,1
2613,центр,0
2614,центральный ,0
2615,центральный банк,0
2616,центробанк,0
2617,цикл,0
2618,цифровая экономика,0
2619,цифровой,0
2620,частично соблюдаться,-1
2621,человеческий капитал,1
2622,честно,1
2623,честность,1
2624,честный,1
2625,честь,1
2626,четкий,1
2627,чистая прибыль,0
2628,чистый,0
2629,чистый долг,0
2630,чистый доход,0
2631,член,0
2632,член вто,0
2633,член правления,0
2634,член ревизионной комиссия,0
2635,член совета директоров,0
2636,чрезвычайно,-2
2637,чрезмерно,-1
2638,чувствительный,1
2639,широта ассортимента,0
2640,штраф,-1
2641,эквиваленты денежных средств,0
2642,экологическая безопасность,1
2643,экологический,1
2644,экологический менеджмент,1
2645,экологический ущеб,-2
2646,экологический штраф,-1
2647,экологическое обучение,1
2648,экономика ,0
2649,экономическая наука,0
2650,экономическая эффективность,1
2651,экономические отношения,0
2652,экономический,0
2653,экономический развитие и интеграция,1
2654,экономический рост,1
2655,экономический форум,0
2656,экономическое развитие,1
2657,экономическое сотрудничество,1
2658,экономичный,1
2659,экономно,1
2660,экосистема,1
2661,эксклюзивность,1
2662,эксперимент,0
2663,экспериментальный,1
2664,эксплуатация,0
2665,эксплуатировать,0
2666,экспорт,1
2667,экспортная выручка,0
2668,экспортные поставки,0
2669,экспортный,1
2670,экспортёр,0
2671,экспроприация,-1
2672,экспроприировать,1
2673,электрическая сеть,0
2674,электрическая энергия,0
2675,электрический,0
2676,электроника,0
2677,электронная виза,0
2678,электронная рассылка,1
2679,электронная торговля,1
2680,электроэнергия,0
2681,эмбарго,-2
2682,эмиссия,0
2683,эмиссия ценных бумаг,0
2684,эмитент,0
2685,эмитент обыкновенных акций,0
2686,эмитент ценных бумаг,0
2687,энергетическая система,0
2688,энергетическая эффективность,1
2689,энергетический,0
2690,энергетический ресурс,0
2691,энергия,0
2692,энергоноситель,0
2693,энергосбережение,1
2694,энергоэффективность,1
2695,энергоёмкость ввп,0
2696,энтузиазм,1
2697,этично,1
2698,этичный,1
2699,эффективно,1
2700,эффективное использование ресурсов,1
2701,эффективность,1
2702,эффективность деятельности,0
2703,эффективный,1
2704,ясно,1
2705,ясность,1
